IMO,Vessel Name,SSID,Flag,Classification,Reasons,Fishing Hours,Vessel Length (m),Engine Power (kW),Gross Tonnage (GT),Port Visits,Foreign Port %,AIS Gaps,Suspicious Gaps,Encounters,Flag Changes,Previous Flags,Owner Country,Ownership,Gear Type,Ship Type,Countries Visited,Encounter Flags
9714446,AGUENE,,VCT,Foreign,Non-Senegalese flag (VCT),,,,,,,,,,,,,,,,,
7529536,ALMIRANTE,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
9208978,ABRELA,,ESP,Foreign,Non-Senegalese flag (ESP),,,,,,,,,,,,,,,,,
9383132,ALINE SITOE DIATTA,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
8834158,AGIA GANA,,,Unknown,No vessel data found in GFW database,,,,,,,,,,,,,,,,,
8012607,268,,,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
8116544,MODULUS 4,,RUS,Foreign,Non-Senegalese flag (RUS),,,,,,,,,,,,,,,,,
8816742,AMINE,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
8816730,AMINE,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
8741399,ANTA SARR,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
7905170,",@6@!A>A;A`",,SGP,Foreign,Non-Senegalese flag (SGP),,,,,,,,,,,,,,,,,
8012619,THANH LOI D23 RAP,,,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
9856579,BETTENTY,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
7407659,CAMPELO1,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
9083653,CAP ATLANTIQUE,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
7021209,BOROM DARADJI,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
8321280,BAKBRUS,,SWE,Foreign,Non-Senegalese flag (SWE),,,,,,,,,,,,,,,,,
7645512,BLAISE DIAGNE,,,Unknown,No vessel data found in GFW database,,,,,,,,,,,,,,,,,
7934597,ZHEDAIYU04385-01,,,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
5034604,BALIAR,,LBR,Foreign,Non-Senegalese flag (LBR),,,,,,,,,,,,,,,,,
8880183,HAI YU YOU 8,,CHN,Foreign,Non-Senegalese flag (CHN),,,,,,,,,,,,,,,,,
8111099,CASTLE TOWN,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
8719243,BIRAME THIAW,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
7338145,CAPE FEAR PILOT 1,,USA,Foreign,Non-Senegalese flag (USA),,,,,,,,,,,,,,,,,
9807994,CARDAMA 241,,ESP,Foreign,Non-Senegalese flag (ESP),,,,,,,,,,,,,,,,,
9714458,DIAMBOGNE,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
7358949,CASAMANCE,,FRA,Foreign,Non-Senegalese flag (FRA),,,,,,,,,,,,,,,,,
6807371,CAVALLY,,KIR,Foreign,Non-Senegalese flag (KIR),,,,,,,,,,,,,,,,,
8804646,CIBELES,,GBR,Foreign,Non-Senegalese flag (GBR),,,,,,,,,,,,,,,,,
7396587,CHIQUITA,,AUS,Foreign,Non-Senegalese flag (AUS),,,,,,,,,,,,,,,,,
8305054,MAYAR,,PRT,Foreign,Non-Senegalese flag (PRT),,,,,,,,,,,,,,,,,
8116178,DIOGUE,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
9118305,DJILOR,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
9099121,COUMBA CASTEL,,,Unknown,No vessel data found in GFW database,,,,,,,,,,,,,,,,,
7826635,DILMON,,QAT,Foreign,Non-Senegalese flag (QAT),,,,,,,,,,,,,,,,,
7338169,DJIRNDA,,,Unknown,No vessel data found in GFW database,,,,,,,,,,,,,,,,,
8321292,DONAKS,,,Unknown,No vessel data found in GFW database,,,,,,,,,,,,,,,,,
7053173,FADIOUTH,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
9276107,GOBER CINCO,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
8843496,ELETTE,,FIN,Foreign,Non-Senegalese flag (FIN),,,,,,,,,,,,,,,,,
5428738,LBN2CNQTQRLJFV,,,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
8102907,GRANADA,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
8411322,ESCHILO,,ITA,Foreign,Non-Senegalese flag (ITA),,,,,,,,,,,,,,,,,
7104350,JIN NIU LING,,CHN,Foreign,Non-Senegalese flag (CHN),,,,,,,,,,,,,,,,,
7338133,GOUDOMP,,,Unknown,No vessel data found in GFW database,,,,,,,,,,,,,,,,,
8600832,FOUMA,,CYP,Foreign,Non-Senegalese flag (CYP),,,,,,,,,,,,,,,,,
7386790,VAYDA,,USA,Foreign,Non-Senegalese flag (USA),,,,,,,,,,,,,,,,,
9228461,ITAF DEME,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
7623241,HISPASEN V,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
8209896,ITTIPESCA PRIMO,,,Unknown,No vessel data found in GFW database,,,,,,,,,,,,,,,,,
8011067,MARU MARU,,USA,Foreign,Non-Senegalese flag (USA),,,,,,,,,,,,,,,,,
7328023,BCR AUX 4,,,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
7321996,ISAFOLD,,DNK,Foreign,Non-Senegalese flag (DNK),,,,,,,,,,,,,,,,,
8708464,KANBAL II,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
7618856,"KANBAL III        ""3",,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
7395600,DJILOR,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
6818966,JOALA,,KOR,Foreign,Non-Senegalese flag (KOR),,,,,,,,,,,,,,,,,
9246815,KENTIA,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
8515582,KARABANE,,,Unknown,No vessel data found in GFW database,,,,,,,,,,,,,,,,,
7826623,KANTAR,,HRV,Foreign,Non-Senegalese flag (HRV),,,,,,,,,,,,,,,,,
8639900,KUMBA NDOFFEN JUUF,,,Unknown,No vessel data found in GFW database,,,,,,,,,,,,,,,,,
5419414,KENAVO,,SWE,Foreign,Non-Senegalese flag (SWE),,,,,,,,,,,,,,,,,
7387500,LAGUEM I,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
7605926,ISA,,POL,Foreign,Non-Senegalese flag (POL),,,,,,,,,,,,,,,,,
8511043,KRITRI,,POL,Foreign,Non-Senegalese flag (POL),,,,,,,,,,,,,,,,,
9243332,HOLLARE,,NLD,Foreign,Non-Senegalese flag (NLD),,,,,,,,,,,,,,,,,
9652143,LEO,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
7529495,L`AUTAN,,FRA,Foreign,Non-Senegalese flag (FRA),,,,,,,,,,,,,,,,,
9030058,LIO1,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
9030060,LIO II,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
8134388,MINH HUY 78 OC E40,,VNM,Foreign,Non-Senegalese flag (VNM),,,,,,,,,,,,,,,,,
8017762,DIAMALAYE 1909,,GMB,Foreign,Non-Senegalese flag (GMB),,,,,,,,,,,,,,,,,
7338157,LES MAMELLES,,,Unknown,No vessel data found in GFW database,,,,,,,,,,,,,,,,,
7053185,LOMPOUL,,,Unknown,No vessel data found in GFW database,,,,,,,,,,,,,,,,,
7351472,LITSA,,,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
7128526,LEONA,,GBR,Foreign,Non-Senegalese flag (GBR),,,,,,,,,,,,,,,,,
8416047,LOUIS SAUGER,,,Unknown,No vessel data found in GFW database,,,,,,,,,,,,,,,,,
8138176,MAGALI ESTHER,,,Unknown,No vessel data found in GFW database,,,,,,,,,,,,,,,,,
8710819,MARSOR PRIMERO,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
9874868,MASEOUD3,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
8844012,MAMI,,VEN,Foreign,Non-Senegalese flag (VEN),,,,,,,,,,,,,,,,,
6914291,MANU IWA,,USA,Foreign,Non-Senegalese flag (USA),,,,,,,,,,,,,,,,,
7362756,MV DORETTE,,CMR,Foreign,Non-Senegalese flag (CMR),,,,,,,,,,,,,,,,,
7419028,MALIKA,,FRA,Foreign,Non-Senegalese flag (FRA),,,,,,,,,,,,,,,,,
8617421,F/V NATA,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
5226518,MARSEILLAIS 6,,FRA,Foreign,Non-Senegalese flag (FRA),,,,,,,,,,,,,,,,,
8827674,MATARI,,QAT,Foreign,Non-Senegalese flag (QAT),,,,,,,,,,,,,,,,,
8827662,MATAR 1,,,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
8843501,MICHELLE,,DNK,Foreign,Non-Senegalese flag (DNK),,,,,,,,,,,,,,,,,
9039896,NUEVO NOSOLAR,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
7529483,NETTALI,,,Unknown,No vessel data found in GFW database,,,,,,,,,,,,,,,,,
7387378,NETTAN,,SWE,Foreign,Non-Senegalese flag (SWE),,,,,,,,,,,,,,,,,
8702290,OCEAN PESCA 3,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
8324945,NUOVO SOCRATE,,,Unknown,No vessel data found in GFW database,,,,,,,,,,,,,,,,,
8809957,ONUDAK1,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
7053197,NILDOR,,FRA,Foreign,Non-Senegalese flag (FRA),,,,,,,,,,,,,,,,,
8714889,F.LLI MARINO,,ITA,Foreign,Non-Senegalese flag (ITA),,,,,,,,,,,,,,,,,
8819445,ONUDAK2,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
7827495,ORIENTAL KIM,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
8402034,NIKOLAOS K,,GRC,Foreign,Non-Senegalese flag (GRC),,,,,,,,,,,,,,,,,
8606355,PDT MAGATE AYA D.II,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
8733744,MOHAMED,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
7315492,OCEAN PESCA 3,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
9144615,PLAYA DE DAKAR,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
8222422,PONT SAINT LOUIS,,ESP,Foreign,Non-Senegalese flag (ESP),,,,,,,,,,,,,,,,,
9728033,POSH GENTLE,,VCT,Foreign,Non-Senegalese flag (VCT),,,,,,,,,,,,,,,,,
9728021,POSH GALLANT,,SGP,Foreign,Non-Senegalese flag (SGP),,,,,,,,,,,,,,,,,
8220541,PEIXEMAR DOS,,ESP,Foreign,Non-Senegalese flag (ESP),,,,,,,,,,,,,,,,,
8731813,PRAIA DA MAROSA,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
6129420,POPONGUINE,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
9003342,RIA  DE  DAKAR,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
8715663,PEIXO,,ESP,Foreign,Non-Senegalese flag (ESP),,,,,,,,,,,,,,,,,
9034262,SENEFAND I,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
7046352,POINTE SANGOMAR,,,Unknown,No vessel data found in GFW database,,,,,,,,,,,,,,,,,
7110414,RAMATOULAYE,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
8996190,SEA DEFENDER,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
8818099,SEGUNDO SAN RAFAEL,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
9144627,SIERRA DE HUELVA,,ESP,Foreign,Non-Senegalese flag (ESP),,,,,,,,,,,,,,,,,
7388293,SABOU 7,,DMA,Foreign,Non-Senegalese flag (DMA),,,,,,,,,,,,,,,,,
9423803,SAMBA LAOBE FALL,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
8921638,SOFIA,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
7328035,MUSTANG SALLY,,USA,Foreign,Non-Senegalese flag (USA),,,,,,,,,,,,,,,,,
7431442,268,,,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
8896699,08896-6-99%,,,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
7118026,SIRIANA,,COL,Foreign,Non-Senegalese flag (COL),,,,,,,,,,,,,,,,,
8832710,JIANGSUSANHANGTUO11,,CHN,Foreign,Non-Senegalese flag (CHN),,,,,,,,,,,,,,,,,
8104204,SOLEVANT,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
8832734,60137,,CHN,Foreign,Non-Senegalese flag (CHN),,,,,,,,,,,,,,,,,
8818087,TOUBA,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
8896687,SOLEIL,,USA,Foreign,Non-Senegalese flag (USA),,,,,,,,,,,,,,,,,
9264374,VB NORA,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
9357341,VB JOAL,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
9357274,VB SANGOMAR,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
5251408,VEMA,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
8617433,SONA,,PAN,Foreign,Non-Senegalese flag (PAN),,,,,,,,,,,,,,,,,
8003242,WESTERN KIM,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
7413828,XIXILI,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
8619041,VB GOREE,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
8615590,VB SOMONE,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
8816742,AMINE,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
8816730,AMINE,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
6519259,VENE,,USA,Foreign,Non-Senegalese flag (USA),,,,,,,,,,,,,,,,,
7621915,268,,,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
7621903,ZHEDAIYU04385-01,,,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
7621927,THANH LOI D23 RAP,,,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
8821939,ANTA SARR,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
7234167,CAMPELO 2,,ESP,Foreign,Non-Senegalese flag (ESP),,,,,,,,,,,,,,,,,
8721426,BAKBRUS,,SWE,Foreign,Non-Senegalese flag (SWE),,,,,,,,,,,,,,,,,
8731239,BOROM DARADJI,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
8713095,CAPE FEAR PILOT 1,,USA,Foreign,Non-Senegalese flag (USA),,,,,,,,,,,,,,,,,
8738118,CIBELES,,GBR,Foreign,Non-Senegalese flag (GBR),,,,,,,,,,,,,,,,,
7433516,CASTLE TOWN,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
8922706,DILMON,,QAT,Foreign,Non-Senegalese flag (QAT),,,,,,,,,,,,,,,,,
8738106,CHIQUITA,,AUS,Foreign,Non-Senegalese flag (AUS),,,,,,,,,,,,,,,,,
8729586,DONAKS,,,Unknown,No vessel data found in GFW database,,,,,,,,,,,,,,,,,
8738120,DJIRNDA,,,Unknown,No vessel data found in GFW database,,,,,,,,,,,,,,,,,
8738144,08738---1-44%,,ESP,Foreign,Non-Senegalese flag (ESP),,,,,,,,,,,,,,,,,
7013441,ELETTE,,FIN,Foreign,Non-Senegalese flag (FIN),,,,,,,,,,,,,,,,,
7507900,B,,CHN,Foreign,Non-Senegalese flag (CHN),,,,,,,,,,,,,,,,,
8793452,08793-4-52%,,DNK,Foreign,Non-Senegalese flag (DNK),,,,,,,,,,,,,,,,,
8738156,FOUMA,,CYP,Foreign,Non-Senegalese flag (CYP),,,,,,,,,,,,,,,,,
8922691,JIN NIU LING,,CHN,Foreign,Non-Senegalese flag (CHN),,,,,,,,,,,,,,,,,
8738132,VAYDA,,USA,Foreign,Non-Senegalese flag (USA),,,,,,,,,,,,,,,,,
8922719,GOUDOMP,,,Unknown,No vessel data found in GFW database,,,,,,,,,,,,,,,,,
8922689,FADIOUTH,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
8738170,ITTIPESCA PRIMO,,,Unknown,No vessel data found in GFW database,,,,,,,,,,,,,,,,,
8738168,HISPASEN V,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
8017574,MARU MARU,,USA,Foreign,Non-Senegalese flag (USA),,,,,,,,,,,,,,,,,
8697689,ITAF DEME,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
8738182,08738-1-82%,,,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
8608678,DJILOR,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
8767238,KANBAL II,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
8612538,LAGUEM I,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
8738209,LES MAMELLES,,,Unknown,No vessel data found in GFW database,,,,,,,,,,,,,,,,,
8767240,"KANBAL III        ""3",,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
8793440,LEONA,,GBR,Foreign,Non-Senegalese flag (GBR),,,,,,,,,,,,,,,,,
8738194,L`AUTAN,,FRA,Foreign,Non-Senegalese flag (FRA),,,,,,,,,,,,,,,,,
8738235,LITSA,,,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
8738247,LOMPOUL,,,Unknown,No vessel data found in GFW database,,,,,,,,,,,,,,,,,
8738211,KM.LIO 01,,IDN,Foreign,Non-Senegalese flag (IDN),,,,,,,,,,,,,,,,,
8738223,LIO II,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
8738259,LOUIS SAUGER,,,Unknown,No vessel data found in GFW database,,,,,,,,,,,,,,,,,
8738261,MAGALI ESTHER,,,Unknown,No vessel data found in GFW database,,,,,,,,,,,,,,,,,
8738285,MARSOR PRIMERO,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
7346483,LUCCIA,,ESP,Foreign,Non-Senegalese flag (ESP),,,,,,,,,,,,,,,,,
8738273,MAMI,,VEN,Foreign,Non-Senegalese flag (VEN),,,,,,,,,,,,,,,,,
8009239,MASEOUD3,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
8738297,MATAR 1,,,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
8738302,MATARI,,QAT,Foreign,Non-Senegalese flag (QAT),,,,,,,,,,,,,,,,,
8738314,MICHELLE,,DNK,Foreign,Non-Senegalese flag (DNK),,,,,,,,,,,,,,,,,
7228008,MV DORETTE,,CMR,Foreign,Non-Senegalese flag (CMR),,,,,,,,,,,,,,,,,
8780462,NATA,,ESP,Foreign,Non-Senegalese flag (ESP),,,,,,,,,,,,,,,,,
8772673,NETTALI,,,Unknown,No vessel data found in GFW database,,,,,,,,,,,,,,,,,
8793414,NETTAN,,SWE,Foreign,Non-Senegalese flag (SWE),,,,,,,,,,,,,,,,,
8738352,08738-352%,,CYP,Foreign,Non-Senegalese flag (CYP),,,,,,,,,,,,,,,,,
8738326,NILDOR,,FRA,Foreign,Non-Senegalese flag (FRA),,,,,,,,,,,,,,,,,
8747690,NUEVO NOSOLAR,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
8738340,NUOVO SOCRATE,,,Unknown,No vessel data found in GFW database,,,,,,,,,,,,,,,,,
8738338,F.LLI MARINO,,ITA,Foreign,Non-Senegalese flag (ITA),,,,,,,,,,,,,,,,,
8738364,08738-3-64%,,,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
7021130,NIKOLAOS K,,GRC,Foreign,Non-Senegalese flag (GRC),,,,,,,,,,,,,,,,,
8613711,OCEAN PESCA 3,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
8613723,OCEAN PESCA 3,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
8505533,ORIENTAL KIM,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
8006375,POINTE SANGOMAR,,,Unknown,No vessel data found in GFW database,,,,,,,,,,,,,,,,,
8740467,PLAYA DE DAKAR,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
8519208,LULAIZHOUYU72106,,CHN,Foreign,Non-Senegalese flag (CHN),,,,,,,,,,,,,,,,,
8756718,PEIX MAR 25,,ESP,Foreign,Non-Senegalese flag (ESP),,,,,,,,,,,,,,,,,
8740481,RIA  DE  DAKAR,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
8738388,PEIXEMAR DOS,,ESP,Foreign,Non-Senegalese flag (ESP),,,,,,,,,,,,,,,,,
8738390,RAMATOULAYE,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
8738376,PEIXO,,ESP,Foreign,Non-Senegalese flag (ESP),,,,,,,,,,,,,,,,,
8738405,RIO AGUEDA,,ESP,Foreign,Non-Senegalese flag (ESP),,,,,,,,,,,,,,,,,
8738417,MUSTANG SALLY,,USA,Foreign,Non-Senegalese flag (USA),,,,,,,,,,,,,,,,,
8022195,SABOU 7,,DMA,Foreign,Non-Senegalese flag (DMA),,,,,,,,,,,,,,,,,
8613244,SEA DEFENDER,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
8704318,SEGUNDO SAN RAFAEL,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
8713083,268,,,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
8740493,SIERRA DE DAKAR,,GRC,Foreign,Non-Senegalese flag (GRC),,,,,,,,,,,,,,,,,
8738443,SOFIA,,FRO,Foreign,Non-Senegalese flag (FRO),,,,,,,,,,,,,,,,,
8738431,60137,,CHN,Foreign,Non-Senegalese flag (CHN),,,,,,,,,,,,,,,,,
8738481,08738-481%,,CYP,Foreign,Non-Senegalese flag (CYP),,,,,,,,,,,,,,,,,
8738455,SOLEIL,,USA,Foreign,Non-Senegalese flag (USA),,,,,,,,,,,,,,,,,
8738479,SOLEVANT,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
8738467,SOLEIL,,USA,Foreign,Non-Senegalese flag (USA),,,,,,,,,,,,,,,,,
8738429,JIANGSUSANHANGTUO11,,CHN,Foreign,Non-Senegalese flag (CHN),,,,,,,,,,,,,,,,,
8505545,WESTERN KIM,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
8880183,HAI YU YOU 8,,CHN,Foreign,Non-Senegalese flag (CHN),,,,,,,,,,,,,,,,,
8833940,COUMBA CASTEL,,,Unknown,No vessel data found in GFW database,,,,,,,,,,,,,,,,,
7230094,MAYAR,,PRT,Foreign,Non-Senegalese flag (PRT),,,,,,,,,,,,,,,,,
7321996,ISAFOLD,,DNK,Foreign,Non-Senegalese flag (DNK),,,,,,,,,,,,,,,,,
7016311,KARABANE,,,Unknown,No vessel data found in GFW database,,,,,,,,,,,,,,,,,
7521567,DIOGUE,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
8740479,POPONGUINE,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
8769762,LEO,,GBR,Foreign,Non-Senegalese flag (GBR),,,,,,,,,,,,,,,,,
8983261,MINH HUY 78 OC E40,,VNM,Foreign,Non-Senegalese flag (VNM),,,,,,,,,,,,,,,,,
8971899,SAMBA LAOBE FALL,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
9012535,VB GOREE,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
9012523,VB SOMONE,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
9224433,VB NORA,,SEN,Genuine Senegalese,No suspicious indicators,,,,,,,,,,,,,,,,,
