IMO,Vessel Name,Flag,Fishing Hours,Vessel Length (m),Engine Power (kW),Classification,Reason
9208978,ABRELA,SEN,,,,Genuine Senegalese,No suspicious indicators
8834158,Unknown,Unknown,,,,Unknown,No vessel data found
9714446,AGUENE,VCT,,,,Foreign,Non-Senegalese flag (VCT)
9383132,ALINE SITOE DIATTA,SEN,,,,Genuine Senegalese,No suspicious indicators
8116544,Unknown,Unknown,,,,Unknown,No vessel data found
7529536,ALMIRANTE,SEN,,,,Genuine Senegalese,No suspicious indicators
7905170,Unknown,Unknown,,,,Unknown,No vessel data found
7934597,Unknown,Unknown,,,,Unknown,No vessel data found
8012607,Unknown,Unknown,,,,Unknown,No vessel data found
8012619,Unknown,Unknown,,,,Unknown,No vessel data found
8816742,AMINE,SEN,,,,Genuine Senegalese,No suspicious indicators
8816730,AMINE,SEN,,,,Genuine Senegalese,No suspicious indicators
8741399,ANTA SARR,SEN,,,,Genuine Senegalese,No suspicious indicators
8880183,Unknown,Unknown,,,,Unknown,No vessel data found
8321280,Unknown,Unknown,,,,Unknown,No vessel data found
5034604,Unknown,Unknown,,,,Unknown,No vessel data found
9856579,BETTENTY,SEN,,,,Genuine Senegalese,No suspicious indicators
7645512,Unknown,Unknown,,,,Unknown,No vessel data found
7021209,BOROM DARADJI,SEN,,,,Genuine Senegalese,No suspicious indicators
7407659,CAMPELO1,SEN,,,,Genuine Senegalese,No suspicious indicators
9083653,CAP ATLANTIQUE,SEN,,,,Genuine Senegalese,No suspicious indicators
7338145,Unknown,Unknown,,,,Unknown,No vessel data found
9807994,Unknown,Unknown,,,,Unknown,No vessel data found
7358949,Unknown,Unknown,,,,Unknown,No vessel data found
8111099,CASTLE TOWN,SEN,,,,Genuine Senegalese,No suspicious indicators
6807371,Unknown,Unknown,,,,Unknown,No vessel data found
8305054,Unknown,Unknown,,,,Unknown,No vessel data found
7396587,Unknown,Unknown,,,,Unknown,No vessel data found
8804646,Unknown,Unknown,,,,Unknown,No vessel data found
8719243,BIRAME THIAW,SEN,,,,Genuine Senegalese,No suspicious indicators
9099121,Unknown,Unknown,,,,Unknown,No vessel data found
9714458,DIAMBOGNE,SEN,,,,Genuine Senegalese,No suspicious indicators
7826635,Unknown,Unknown,,,,Unknown,No vessel data found
8116178,DIOGUE,SEN,,,,Genuine Senegalese,No suspicious indicators
9118305,DJILOR,SEN,,,,Genuine Senegalese,No suspicious indicators
7338169,Unknown,Unknown,,,,Unknown,No vessel data found
8321292,Unknown,Unknown,,,,Unknown,No vessel data found
5428738,Unknown,Unknown,,,,Unknown,No vessel data found
8843496,Unknown,Unknown,,,,Unknown,No vessel data found
8411322,Unknown,Unknown,,,,Unknown,No vessel data found
7053173,Unknown,Unknown,,,,Unknown,No vessel data found
7104350,Unknown,Unknown,,,,Unknown,No vessel data found
7386790,Unknown,Unknown,,,,Unknown,No vessel data found
8600832,Unknown,Unknown,,,,Unknown,No vessel data found
9276107,GOBER CINCO,SEN,,,,Genuine Senegalese,No suspicious indicators
7338133,Unknown,Unknown,,,,Unknown,No vessel data found
8102907,GRANADA,SEN,,,,Genuine Senegalese,No suspicious indicators
7623241,Unknown,Unknown,,,,Unknown,No vessel data found
8011067,Unknown,Unknown,,,,Unknown,No vessel data found
7328023,Unknown,Unknown,,,,Unknown,No vessel data found
7605926,Unknown,Unknown,,,,Unknown,No vessel data found
7321996,Unknown,Unknown,,,,Unknown,No vessel data found
9228461,ITAF DEME,SEN,,,,Genuine Senegalese,No suspicious indicators
8209896,Unknown,Unknown,,,,Unknown,No vessel data found
7395600,Unknown,Unknown,,,,Unknown,No vessel data found
6818966,Unknown,Unknown,,,,Unknown,No vessel data found
8708464,KANBAL II,SEN,,,,Genuine Senegalese,No suspicious indicators
7618856,"KANBAL III        ""3",SEN,,,,Genuine Senegalese,No suspicious indicators
7826623,Unknown,Unknown,,,,Unknown,No vessel data found
8515582,Unknown,Unknown,,,,Unknown,No vessel data found
5419414,Unknown,Unknown,,,,Unknown,No vessel data found
9246815,KENTIA,SEN,,,,Genuine Senegalese,No suspicious indicators
9243332,Unknown,Unknown,,,,Unknown,No vessel data found
8511043,Unknown,Unknown,,,,Unknown,No vessel data found
8639900,Unknown,Unknown,,,,Unknown,No vessel data found
8134388,Unknown,Unknown,,,,Unknown,No vessel data found
7387500,LAGUEM I,SEN,,,,Genuine Senegalese,No suspicious indicators
7529495,Unknown,Unknown,,,,Unknown,No vessel data found
9652143,LEO,SEN,,,,Genuine Senegalese,No suspicious indicators
7128526,Unknown,Unknown,,,,Unknown,No vessel data found
7338157,Unknown,Unknown,,,,Unknown,No vessel data found
9030058,LIO1,SEN,,,,Genuine Senegalese,No suspicious indicators
9030060,LIO II,SEN,,,,Genuine Senegalese,No suspicious indicators
7351472,Unknown,Unknown,,,,Unknown,No vessel data found
7053185,Unknown,Unknown,,,,Unknown,No vessel data found
8416047,Unknown,Unknown,,,,Unknown,No vessel data found
8017762,DIAMALAYE 1909,SEN,,,,Genuine Senegalese,No suspicious indicators
8138176,Unknown,Unknown,,,,Unknown,No vessel data found
7419028,Unknown,Unknown,,,,Unknown,No vessel data found
8844012,Unknown,Unknown,,,,Unknown,No vessel data found
6914291,Unknown,Unknown,,,,Unknown,No vessel data found
5226518,Unknown,Unknown,,,,Unknown,No vessel data found
8710819,MARSOR PRIMERO,SEN,,,,Genuine Senegalese,No suspicious indicators
9874868,MASEOUD3,SEN,,,,Genuine Senegalese,No suspicious indicators
8827662,Unknown,Unknown,,,,Unknown,No vessel data found
8827674,Unknown,Unknown,,,,Unknown,No vessel data found
8843501,Unknown,Unknown,,,,Unknown,No vessel data found
7362756,MV DORETTE,CMR,,,,Foreign,Non-Senegalese flag (CMR)
8617421,F/V NATA,SEN,,,,Genuine Senegalese,No suspicious indicators
7529483,Unknown,Unknown,,,,Unknown,No vessel data found
7387378,Unknown,Unknown,,,,Unknown,No vessel data found
8402034,Unknown,Unknown,,,,Unknown,No vessel data found
7053197,Unknown,Unknown,,,,Unknown,No vessel data found
9039896,NUEVO NOSOLAR,SEN,,,,Genuine Senegalese,No suspicious indicators
8714889,Unknown,Unknown,,,,Unknown,No vessel data found
8324945,Unknown,Unknown,,,,Unknown,No vessel data found
7315492,Unknown,Unknown,,,,Unknown,No vessel data found
8702290,OCEAN PESCA 3,SEN,,,,Genuine Senegalese,No suspicious indicators
8809957,ONUDAK1,SEN,,,,Genuine Senegalese,No suspicious indicators
8819445,ONUDAK2,SEN,,,,Genuine Senegalese,No suspicious indicators
7827495,ORIENTAL KIM,SEN,,,,Genuine Senegalese,No suspicious indicators
8606355,PDT MAGATE AYA D.II,SEN,,,,Genuine Senegalese,No suspicious indicators
8715663,Unknown,Unknown,,,,Unknown,No vessel data found
8733744,MOHAMED,SEN,,,,Genuine Senegalese,No suspicious indicators
8220541,Unknown,Unknown,,,,Unknown,No vessel data found
9144615,PLAYA DE DAKAR,SEN,,,,Genuine Senegalese,No suspicious indicators
7046352,Unknown,Unknown,,,,Unknown,No vessel data found
8222422,PONT SAINT LOUIS,SEN,,,,Genuine Senegalese,No suspicious indicators
6129420,Unknown,Unknown,,,,Unknown,No vessel data found
9728021,POSH GALLANT,SGP,,,,Foreign,Non-Senegalese flag (SGP)
9728033,POSH GENTLE,VCT,,,,Foreign,Non-Senegalese flag (VCT)
8731813,PRAIA DA MAROSA,SEN,,,,Genuine Senegalese,No suspicious indicators
7110414,RAMATOULAYE,SEN,,,,Genuine Senegalese,No suspicious indicators
9003342,RIA  DE  DAKAR,SEN,,,,Genuine Senegalese,No suspicious indicators
9034262,SENEFAND I,SEN,,,,Genuine Senegalese,No suspicious indicators
7388293,Unknown,Unknown,,,,Unknown,No vessel data found
7328035,Unknown,Unknown,,,,Unknown,No vessel data found
9423803,Unknown,Unknown,,,,Unknown,No vessel data found
8996190,SEA DEFENDER,SEN,,,,Genuine Senegalese,No suspicious indicators
8818099,SEGUNDO SAN RAFAEL,SEN,,,,Genuine Senegalese,No suspicious indicators
7431442,Unknown,Unknown,,,,Unknown,No vessel data found
9144627,SIERRA DE HUELVA,ESP,,,,Foreign,Non-Senegalese flag (ESP)
7118026,Unknown,Unknown,,,,Unknown,No vessel data found
8832710,Unknown,Unknown,,,,Unknown,No vessel data found
8832734,Unknown,Unknown,,,,Unknown,No vessel data found
8921638,SOFIA,SEN,,,,Genuine Senegalese,No suspicious indicators
8896687,Unknown,Unknown,,,,Unknown,No vessel data found
8896699,08896-6-99%,Unknown,,,,Genuine Senegalese,No suspicious indicators
8104204,SOLEVANT,SEN,,,,Genuine Senegalese,No suspicious indicators
8617433,Unknown,Unknown,,,,Unknown,No vessel data found
8818087,TOUBA,SEN,,,,Genuine Senegalese,No suspicious indicators
8619041,Unknown,Unknown,,,,Unknown,No vessel data found
9357341,VB JOAL,SEN,,,,Genuine Senegalese,No suspicious indicators
9264374,VB NORA,SEN,,,,Genuine Senegalese,No suspicious indicators
9357274,VB SANGOMAR,SEN,,,,Genuine Senegalese,No suspicious indicators
8615590,Unknown,Unknown,,,,Unknown,No vessel data found
5251408,VEMA,SEN,,,,Genuine Senegalese,No suspicious indicators
6519259,Unknown,Unknown,,,,Unknown,No vessel data found
8003242,WESTERN KIM,SEN,,,,Genuine Senegalese,No suspicious indicators
7413828,XIXILI,SEN,,,,Genuine Senegalese,No suspicious indicators
7621903,Unknown,Unknown,,,,Unknown,No vessel data found
7621915,Unknown,Unknown,,,,Unknown,No vessel data found
7621927,Unknown,Unknown,,,,Unknown,No vessel data found
8816742,AMINE,SEN,,,,Genuine Senegalese,No suspicious indicators
8816730,AMINE,SEN,,,,Genuine Senegalese,No suspicious indicators
8821939,Unknown,Unknown,,,,Unknown,No vessel data found
8721426,Unknown,Unknown,,,,Unknown,No vessel data found
8731239,Unknown,Unknown,,,,Unknown,No vessel data found
7234167,CAMPELO 2,SEN,,,,Genuine Senegalese,No suspicious indicators
8713095,Unknown,Unknown,,,,Unknown,No vessel data found
7433516,Unknown,Unknown,,,,Unknown,No vessel data found
8738106,Unknown,Unknown,,,,Unknown,No vessel data found
8738118,Unknown,Unknown,,,,Unknown,No vessel data found
7507900,Unknown,Unknown,,,,Unknown,No vessel data found
8922706,Unknown,Unknown,,,,Unknown,No vessel data found
8738120,Unknown,Unknown,,,,Unknown,No vessel data found
8729586,Unknown,Unknown,,,,Unknown,No vessel data found
7013441,Unknown,Unknown,,,,Unknown,No vessel data found
8738144,08738---1-44%,ESP,,,,Foreign,Non-Senegalese flag (ESP)
8922689,Unknown,Unknown,,,,Unknown,No vessel data found
8922691,Unknown,Unknown,,,,Unknown,No vessel data found
8738132,Unknown,Unknown,,,,Unknown,No vessel data found
8738156,Unknown,Unknown,,,,Unknown,No vessel data found
8793452,08793-4-52%,DNK,,,,Foreign,Non-Senegalese flag (DNK)
8922719,Unknown,Unknown,,,,Unknown,No vessel data found
8738168,Unknown,Unknown,,,,Unknown,No vessel data found
8017574,Unknown,Unknown,,,,Unknown,No vessel data found
8697689,Unknown,Unknown,,,,Unknown,No vessel data found
8738170,Unknown,Unknown,,,,Unknown,No vessel data found
8608678,Unknown,Unknown,,,,Unknown,No vessel data found
8767238,Unknown,Unknown,,,,Unknown,No vessel data found
8767240,Unknown,Unknown,,,,Unknown,No vessel data found
8738182,08738-1-82%,Unknown,,,,Genuine Senegalese,No suspicious indicators
8612538,Unknown,Unknown,,,,Unknown,No vessel data found
8738194,Unknown,Unknown,,,,Unknown,No vessel data found
8793440,Unknown,Unknown,,,,Unknown,No vessel data found
8738209,Unknown,Unknown,,,,Unknown,No vessel data found
8738211,Unknown,Unknown,,,,Unknown,No vessel data found
8738223,Unknown,Unknown,,,,Unknown,No vessel data found
8738235,Unknown,Unknown,,,,Unknown,No vessel data found
8738247,Unknown,Unknown,,,,Unknown,No vessel data found
8738259,Unknown,Unknown,,,,Unknown,No vessel data found
7346483,Unknown,Unknown,,,,Unknown,No vessel data found
8738261,Unknown,Unknown,,,,Unknown,No vessel data found
8738273,Unknown,Unknown,,,,Unknown,No vessel data found
8738285,Unknown,Unknown,,,,Unknown,No vessel data found
8009239,Unknown,Unknown,,,,Unknown,No vessel data found
8738297,Unknown,Unknown,,,,Unknown,No vessel data found
8738302,Unknown,Unknown,,,,Unknown,No vessel data found
8738314,Unknown,Unknown,,,,Unknown,No vessel data found
7228008,Unknown,Unknown,,,,Unknown,No vessel data found
8780462,Unknown,Unknown,,,,Unknown,No vessel data found
8772673,Unknown,Unknown,,,,Unknown,No vessel data found
8793414,Unknown,Unknown,,,,Unknown,No vessel data found
7021130,Unknown,Unknown,,,,Unknown,No vessel data found
8738326,Unknown,Unknown,,,,Unknown,No vessel data found
8747690,Unknown,Unknown,,,,Unknown,No vessel data found
8738338,Unknown,Unknown,,,,Unknown,No vessel data found
8738340,Unknown,Unknown,,,,Unknown,No vessel data found
8613711,Unknown,Unknown,,,,Unknown,No vessel data found
8613723,Unknown,Unknown,,,,Unknown,No vessel data found
8738352,08738-352%,CYP,,,,Foreign,Non-Senegalese flag (CYP)
8738364,08738-3-64%,Unknown,,,,Genuine Senegalese,No suspicious indicators
8505533,Unknown,Unknown,,,,Unknown,No vessel data found
8519208,Unknown,Unknown,,,,Unknown,No vessel data found
8738376,Unknown,Unknown,,,,Unknown,No vessel data found
8738388,Unknown,Unknown,,,,Unknown,No vessel data found
8756718,Unknown,Unknown,,,,Unknown,No vessel data found
8740467,Unknown,Unknown,,,,Unknown,No vessel data found
8006375,Unknown,Unknown,,,,Unknown,No vessel data found
8738390,Unknown,Unknown,,,,Unknown,No vessel data found
8740481,Unknown,Unknown,,,,Unknown,No vessel data found
8738405,Unknown,Unknown,,,,Unknown,No vessel data found
8022195,Unknown,Unknown,,,,Unknown,No vessel data found
8738417,Unknown,Unknown,,,,Unknown,No vessel data found
8613244,Unknown,Unknown,,,,Unknown,No vessel data found
8704318,Unknown,Unknown,,,,Unknown,No vessel data found
8713083,Unknown,Unknown,,,,Unknown,No vessel data found
8740493,Unknown,Unknown,,,,Unknown,No vessel data found
8738429,Unknown,Unknown,,,,Unknown,No vessel data found
8738431,Unknown,Unknown,,,,Unknown,No vessel data found
8738443,Unknown,Unknown,,,,Unknown,No vessel data found
8738455,Unknown,Unknown,,,,Unknown,No vessel data found
8738467,Unknown,Unknown,,,,Unknown,No vessel data found
8738479,Unknown,Unknown,,,,Unknown,No vessel data found
8738481,08738-481%,CYP,,,,Foreign,Non-Senegalese flag (CYP)
8505545,Unknown,Unknown,,,,Unknown,No vessel data found
8880183,Unknown,Unknown,,,,Unknown,No vessel data found
7230094,Unknown,Unknown,,,,Unknown,No vessel data found
8833940,Unknown,Unknown,,,,Unknown,No vessel data found
7521567,Unknown,Unknown,,,,Unknown,No vessel data found
7321996,Unknown,Unknown,,,,Unknown,No vessel data found
7016311,Unknown,Unknown,,,,Unknown,No vessel data found
8983261,Unknown,Unknown,,,,Unknown,No vessel data found
8769762,Unknown,Unknown,,,,Unknown,No vessel data found
8740479,Unknown,Unknown,,,,Unknown,No vessel data found
8971899,Unknown,Unknown,,,,Unknown,No vessel data found
9012535,Unknown,Unknown,,,,Unknown,No vessel data found
9224433,Unknown,Unknown,,,,Unknown,No vessel data found
9012523,Unknown,Unknown,,,,Unknown,No vessel data found
